#
#
# US Geological Survey
# retrieved: 2015-04-14 22:27:39 EDT
# URL: http://nwis.waterdata.usgs.gov/ca/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in California.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  state_cd        -- State code
#  county_cd       -- County code
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#  qw_begin_date   -- Water-quality data begin date
#  qw_end_date     -- Water-quality data end date
#  qw_count_nu     -- Water-quality data count
#  gw_begin_date   -- Field water-level measurements begin date
#  gw_end_date     -- Field water-level measurements end date
#  gw_count_nu     -- Field water-level measurements count
#
#
# query started 2015-04-14 22:27:39 EDT
#
# there are 783 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	county_cd	alt_va	alt_acy_va	alt_datum_cd	peak_begin_date	peak_end_date	peak_count_nu	qw_begin_date	qw_end_date	qw_count_nu	gw_begin_date	gw_end_date	gw_count_nu
USGS	10308794	BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA	ST	38.73573925	-119.64544970	S	NAD83	06	003	 6300			1999-04-19	2012-12-02	15	--	--	0	--	--	0
USGS	10310000	W FK CARSON RV AT WOODFORDS, CA	ST	38.76962765	-119.83378900	S	NAD83	06	003	 5754.50			1890-06-09	2014-04-20	99	1960-10-06	2002-08-21	221	--	--	0
USGS	103366092	UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA	ST	38.84851850	-120.02712750	S	NAD83	06	017	 6310			1991-05-25	2014-04-18	24	1989-08-29	2011-09-06	553	--	--	0
USGS	10336610	UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA	ST	38.92240780	-119.99157060	S	NAD83	06	017	 6229.04			1972-06-01	2014-02-09	39	1970-06-05	2014-05-01	869	--	--	0
USGS	10336645	GENERAL C NR MEEKS BAY CA	ST	39.05185197	-120.11852090	F	NAD83	06	017				1981-04-30	2014-04-17	34	1981-04-30	2013-09-04	703	--	--	0
USGS	10336660	BLACKWOOD C NR TAHOE CITY CA	ST	39.10740708	-120.16213520	F	NAD83	06	061	 6234.59			1961-05-10	2014-02-09	54	1973-11-12	2013-09-04	875	--	--	0
USGS	10336674	WARD C BL CONFLUENCE NR TAHOE CITY CA	ST	39.14074010	-120.21213770	S	NAD83	06	061	 6600			1992-04-17	2011-06-22	20	1991-01-23	2011-09-06	467	--	--	0
USGS	10336676	WARD C AT HWY 89 NR TAHOE PINES CA	ST	39.13212920	-120.15769130	F	NAD83	06	061				1973-05-16	2014-02-09	42	1972-12-20	2013-09-04	863	--	--	0
USGS	10336698	THIRD CK NR CRYSTAL BAY, NV	ST	39.24046325	-119.94657740	S	NAD83	32	031	 6234.03			1970-06-02	2014-04-17	42	1969-10-15	2013-09-06	1466	--	--	0
USGS	10336700	INCLINE CK NR CRYSTAL BAY, NV	ST	39.24018550	-119.94491060	S	NAD83	32	031	 6246.90			1970-01-21	2014-07-20	32	1969-10-15	2013-09-06	1314	--	--	0
USGS	10336780	TROUT CK NR TAHOE VALLEY, CA	ST	38.91990770	-119.97240360	S	NAD83	06	017	 6241.57			1961-06-14	2014-02-09	54	1973-11-09	2002-06-28	132	--	--	0
USGS	10337000	LAKE TAHOE A TAHOE CITY CA	LK	39.18074020	-120.11935830	F	NAD83	06	061	 6218.86			--	--	0	1960-10-05	1969-09-08	69	--	--	0
USGS	10337500	TRUCKEE R A TAHOE CITY CA	ST	39.16629577	-120.14435860	F	NAD83	06	061	 6216.59			1901-08-11	2014-06-17	114	1978-02-22	2013-04-23	84	--	--	0
USGS	10338000	TRUCKEE R NR TRUCKEE CA	ST	39.29629520	-120.20547520	F	NAD83	06	061	 5860.00			1945-02-02	2014-02-09	45	1960-10-05	1980-03-21	52	--	--	0
USGS	10338400	DONNER LK NR TRUCKEE CA	LK	39.32490560	-120.28242230	F	NAD83	06	057				--	--	0	--	--	0	--	--	0
USGS	10338500	DONNER C A DONNER LK NR TRUCKEE CA	ST	39.32351720	-120.23436540	F	NAD83	06	057	 5924.40			1909-11-25	2014-02-11	81	--	--	0	--	--	0
USGS	10338700	DONNER C AT HWY 89 NR TRUCKEE CA	ST	39.32101739	-120.20797590	S	NAD83	06	057	 5870			1993-05-31	2014-02-09	22	--	--	0	--	--	0
USGS	10340300	PROSSER C RES NR TRUCKEE CA	LK	39.37935130	-120.13769840	S	NAD83	06	057	 5760			--	--	0	--	--	0	--	--	0
USGS	10340500	PROSSER C BL PROSSER C DAM NR TRUCKEE CA	ST	39.37324026	-120.13158700	F	NAD83	06	057	 5572.62			1943-01-21	2014-04-30	72	1980-06-02	1980-08-08	2	--	--	0
USGS	10341950	LITTLE TRUCKEE R BL DIV DAM NR SIERRAVILLE CA	ST	39.49157150	-120.29270430	S	NAD83	06	091	 6380			1993-06-26	2012-12-02	7	--	--	0	--	--	0
USGS	10342900	INDEPENDENCE LK NR TRUCKEE CA	LK	39.45184949	-120.29075880	F	NAD83	06	091				--	--	0	--	--	0	--	--	0
USGS	10343000	INDEPENDENCE C NR TRUCKEE CA	ST	39.45657170	-120.28714770	F	NAD83	06	091	 6940.00			1903-05-13	2013-11-05	52	--	--	0	--	--	0
USGS	10343500	SAGEHEN C NR TRUCKEE CA	ST	39.43157246	-120.23797930	F	NAD83	06	057	 6320.00			1954-04-22	2014-02-09	61	1968-05-16	2015-04-06	1205	--	--	0
USGS	10344300	STAMPEDE RES NR BOCA CA	LK	39.47046319	-120.10408970	S	NAD83	06	091	 5690			--	--	0	--	--	0	--	--	0
USGS	10344400	LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA	ST	39.43574106	-120.08436600	F	NAD83	06	057	 5618.67			1904-04-14	2014-04-30	82	--	--	0	--	--	0
USGS	10344490	BOCA RES NR TRUCKEE CA	LK	39.38879620	-120.09630900	F	NAD83	06	057				--	--	0	--	--	0	--	--	0
USGS	10344500	LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA	ST	39.38685177	-120.09547570	F	NAD83	06	057	 5500.00			1890-05-06	2014-04-28	81	1980-06-02	1980-08-08	2	--	--	0
USGS	10344505	TRUCKEE R A BOCA BRIDGE NR TRUCKEE CA	ST	39.38518517	-120.08769770	S	NAD83	06	057	 5484			2003-05-29	2014-02-09	12	--	--	0	--	--	0
USGS	10346000	TRUCKEE R A FARAD CA	ST	39.42796385	-120.03408730	S	NAD83	06	057	 5153.21			1900-05-10	2014-02-09	115	1960-10-05	1996-10-08	312	--	--	0
USGS	11012500	CAMPO C NR CAMPO CA	ST	32.59117200	-116.52557200	F	NAD83	06	073	 2179.08			1937-02-06	2013-01-25	77	--	--	0	--	--	0
USGS	11014000	JAMUL C NR JAMUL CA	ST	32.63755660	-116.88418930	F	NAD83	06	073	 511.64			1940-04-10	2013-11-22	67	2005-04-29	2005-04-29	1	--	--	0
USGS	11015000	SWEETWATER R NR DESCANSO CA	ST	32.83477370	-116.62307470	F	NAD83	06	073	 3269.24			1906-03-24	2013-03-09	79	1987-11-10	2010-01-22	6	--	--	0
USGS	11016200	SWEETWATER R A DEHESA CA	ST	32.77416667	-116.85027780	U	NAD83	06	073	 520			2006-01-14	2014-03-01	9	2008-02-01	2011-02-27	4	--	--	0
USGS	11020600	EL CAPITAN RES NR LAKESIDE CA	LK	32.88227229	-116.80919030	F	NAD83	06	073	 770			--	--	0	--	--	0	--	--	0
USGS	11022100	SAN VICENTE RES NR LAKESIDE CA	LK	32.91338116	-116.92808300	S	NAD83	06	073	 650			--	--	0	--	--	0	--	--	0
USGS	11022200	LOS COCHES C NR LAKESIDE CA	ST	32.83616156	-116.90030350	F	NAD83	06	073	 560			1983-11-20	2014-03-01	31	1992-02-14	1992-02-14	1	--	--	0
USGS	11022480	SAN DIEGO R A MAST RD NR SANTEE CA	ST	32.84032675	-117.02586270	F	NAD83	06	073	 280			1915-02-11	2014-03-01	100	1992-02-14	2010-01-21	4	--	--	0
USGS	11023000	SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA	ST	32.76504998	-117.16864490	F	NAD83	06	073	 20			1913-04-07	2014-03-02	37	2004-03-30	2005-03-07	2	--	--	0
USGS	11023340	LOS PENASQUITOS C NR POWAY CA	ST	32.94310130	-117.12169990	F	NAD83	06	073				1965-04-08	2014-03-01	50	1985-03-20	2010-05-19	2	--	--	0
USGS	11025500	SANTA YSABEL C NR RAMONA CA	ST	33.10698660	-116.86613700	F	NAD83	06	073	 847.88			1912-03-10	2014-08-03	81	--	--	0	--	--	0
USGS	11027000	GUEJITO C NR SAN PASQUAL CA	ST	33.11587430	-116.95308410	F	NAD83	06	073	 610.00			1946-12-28	2014-02-28	45	1981-11-24	1982-03-24	2	--	--	0
USGS	11028500	SANTA MARIA C NR RAMONA CA	ST	33.05226550	-116.94558440	F	NAD83	06	073	 1294.44			1914-02-21	2014-02-28	75	--	--	0	--	--	0
USGS	11042000	SAN LUIS REY R A OCEANSIDE CA	ST	33.21809119	-117.36031620	F	NAD83	06	073	 20.00			1913-02-26	2014	85	1969-01-26	1993-08-16	903	--	--	0
USGS	11042400	TEMECULA C NR AGUANGA CA	ST	33.45919759	-116.92363570	F	NAD83	06	065	 1590.00			1958-04-03	2014-03-01	57	1971-10-12	1972-05-02	2	--	--	0
USGS	11042510	VAIL LK NR TEMECULA CA	LK	33.49558538	-116.97669200	F	NAD83	06	065				--	--	0	2011-08-20	2012-09-15	4	--	--	0
USGS	11042631	PECHANGA C NR TEMECULA CA	ST	33.46416667	-117.12388890	F	NAD83	06	065	 1040			1988-01-17	2014-02-28	25	--	--	0	--	--	0
USGS	11042700	MURRIETA C NR MURRIETA CA	ST	33.55558075	-117.23142390	S	NAD83	06	065	 1105			1998-02-23	2014-02-28	15	--	--	0	--	--	0
USGS	11042800	WARM SPRINGS C NR MURRIETA CA	ST	33.53224867	-117.17697710	F	NAD83	06	065				1988-01-17	2014-03-01	26	--	--	0	--	--	0
USGS	11042900	SANTA GERTRUDIS C NR TEMECULA CA	ST	33.52447127	-117.16475440	F	NAD83	06	065	 1050			1988-01-17	2014-03-01	26	--	--	0	--	--	0
USGS	11043000	MURRIETA C A TEMECULA CA	ST	33.47975066	-117.14392030	F	NAD83	06	065	 970.00			1931-02-05	2014-03-01	84	1971-10-08	1973-04-04	3	--	--	0
USGS	11044000	SANTA MARGARITA R NR TEMECULA CA	ST	33.47391750	-117.14225360	F	NAD83	06	065	 950.00			1923-02-12	2014-02-28	91	1973-04-04	1973-04-04	1	--	--	0
USGS	11044250	RAINBOW C NR FALLBROOK CA	ST	33.40753006	-117.20086700	F	NAD83	06	073				1992-02-15	2014-02-28	23	1993-04-08	1993-04-08	1	--	--	0
USGS	11044300	SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA	ST	33.41364059	-117.24114620	F	NAD83	06	073				1990-02-18	2014-03-01	25	--	--	0	--	--	0
USGS	11044350	SANDIA C NR FALLBROOK CA	ST	33.42447348	-117.24920200	S	NAD83	06	073	 380			1990-02-17	2014-03-01	25	--	--	0	--	--	0
USGS	11044800	DE LUZ C NR DE LUZ CA	ST	33.41975110	-117.32170440	S	NAD83	06	073	 270			1993-01-16	2014-03-01	22	--	--	0	--	--	0
USGS	11045300	FALLBROOK C NR FALLBROOK CA	ST	33.34697584	-117.31781520	S	NAD83	06	073	 190			1994-02-07	2014-02-28	21	--	--	0	--	--	0
USGS	11045600	ONEILL LAKE OUTLET CH NR FALLBROOK CA	ST	33.32503210	-117.32559310	S	NAD83	06	073	 100			1998-11-08	2014-09-18	15	--	--	0	--	--	0
